Area (m²),Elevation (m),Volume (m³)
25362924.695883244,630.0,2319141441.0003123
25563475.86616497,631.0,2344798394.106863
25750430.346936073,632.0,2370649949.8320346
25952681.10340663,633.0,2396698657.55511
26144734.342744216,634.0,2422939418.517523
26336787.582081802,635.0,2449380305.75367
26544986.89021326,636.0,2476014945.8153443
26724293.233134635,637.0,2502836965.2543364
26919745.644849878,638.0,2529853587.3119493
27113498.470376294,639.0,2557058863.4365225
27297053.77876974,640.0,2584453218.5246024
27491656.397390567,641.0,2612056197.8173614
27714302.18812706,642.0,2639869500.9009876
27912303.979125544,643.0,2667886754.3272734
28122202.873445828,644.0,2696113056.854785
28330402.181577284,645.0,2724538210.9663897
28519906.041631628,646.0,2753166465.627559
28736603.280707225,647.0,2782015666.493276
28961798.450726964,648.0,2811085388.6669936
29177645.896708146,649.0,2840354812.2178984
29361201.20510159,650.0,2869816289.008141
29561752.375383317,651.0,2899491063.8650813
29787797.338497467,652.0,2929384235.547286
29998546.025912166,653.0,2959483057.158339
30199097.196193893,654.0,2989792202.5602593
30419193.607647143,655.0,3020323568.856369
30643538.984572466,656.0,3051068233.219177
30845789.741043024,657.0,3082026195.6486826
31070135.117968347,658.0,3113213602.2136803
31304678.012026638,659.0,3144621954.9832253
31512027.52706368,660.0,3176239356.8539963
31722776.214478377,661.0,3208070906.5845594
31940323.246648386,662.0,3240117878.864557
32153621.313346326,663.0,3272370925.9699497
32352472.897439227,664.0,3304829623.004191
32564921.17104275,665.0,3337494394.863827
32764622.548230067,666.0,3370367366.031595
32981319.787305664,667.0,3403460858.5073633
33205665.164230987,668.0,3436775722.0842266
33424061.98949541,669.0,3470319604.9000344
33663703.64212019,670.0,3504086983.299673
33871053.15715723,671.0,3538073183.4211235
34101347.08574345,672.0,3572293926.436632
34340138.94527381,673.0,3606739014.8290663
34550037.83959409,674.0,3641404624.5295005
34781181.56127472,675.0,3676306476.710182
35022522.80008832,676.0,3711458168.0606213
35280859.90079021,677.0,3746854174.9257045
35511153.82937643,678.0,3782466454.133316
35713404.58584698,679.0,3818305628.0971365
35964943.34179356,680.0,3854389117.5756006
36202035.615135096,681.0,3890707999.7412176
36435728.71609897,682.0,3927264399.0767236
36677069.95491257,683.0,3964045143.7891545
36884419.46994961,684.0,4001051933.4646997
37129159.88114087,685.0,4038288592.172284
37344157.53402764,686.0,4075752995.4291716
37584648.97974683,687.0,4113462988.8903446
37835337.94259899,688.0,4151425370.9005585
38089426.07782881,689.0,4189635892.4943414
38331617.10973683,690.0,4228063111.3272
38522820.555980004,691.0,4266690456.433793
