Day/ Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Unnamed: 48
276.0,204.13928325473285,210.76001676569717,197.51854974376855,495.4515577371625,361.93343193271556,346.4850537404655,578.2107266242164,230.6222172985901,676.4182737035202,274.7604407050188,464.55480135266237,239.44986197987583,387.31291039141206,282.48462980114385,204.13928325473285,281.3811742159831,230.6222172985901,209.65656118053644,408.2785665094657,264.8293404385724,226.20839495794723,296.8295524082332,247.1740510760009,226.20839495794723,352.0023316662691,272.55352953469736,216.27729469150074,247.1740510760009,243.8636843205187,231.7256728837508,355.3126984217513,385.10599922109066,278.070807460501,774.6258207828241,353.1057872514298,243.8636843205187,370.7610766140013,311.1744750153225,527.4517697068234,264.8293404385724,154.48378192250055,154.48378192250055,314.70453205998996
277.0,199.72546091408998,208.55310559537574,187.58744947732208,1412.423149005719,353.1057872514298,337.65740905917977,393.9336439023764,211.86347235085788,672.0044513628774,251.58787341664373,443.5891452346087,249.3809622463223,343.1746869849834,274.7604407050188,235.03603963923297,261.51897368309017,226.20839495794723,190.89781623280425,292.4157300675903,259.31206251276876,214.07038352117934,273.6569851198581,239.44986197987583,218.4842058618222,337.65740905917977,256.00169575728665,218.4842058618222,233.93258405407224,230.6222172985901,217.38075027666147,434.76150055332295,364.14034310303697,259.31206251276876,830.9020556260208,306.76065267467965,237.2429508095544,340.9677758146619,305.6571970895189,516.4172138552161,278.070807460501,164.414882188947,164.414882188947,322.82648086669207
278.0,208.55310559537574,218.4842058618222,183.17362713667922,1445.5268165605407,333.2435867185369,312.2779306004833,317.7952085262868,205.24273883989358,441.3822340642873,244.96713990567943,570.4865375280914,259.31206251276876,384.0025436359299,377.38181012496557,292.4157300675903,251.58787341664373,214.07038352117934,183.17362713667922,267.0362516088938,242.760228735358,200.8289164992507,278.070807460501,228.41530612826864,214.07038352117934,301.2433747488761,258.20860692760806,216.27729469150074,222.89802820246507,228.41530612826864,209.65656118053644,317.7952085262868,472.2789904487874,246.07059549084013,855.1780784995566,282.48462980114385,235.03603963923297,361.93343193271556,306.76065267467965,482.21009071523383,253.7947845869652,194.20818298828638,194.20818298828638,319.4631882762362
279.0,204.13928325473285,208.55310559537574,169.9321601147506,690.7631963106096,324.41594203725117,281.3811742159831,335.4504978888583,199.72546091408998,377.38181012496557,239.44986197987583,459.03752342685874,237.2429508095544,365.24379868819767,498.7619244926446,251.58787341664373,244.96713990567943,209.65656118053644,176.5528936257149,251.58787341664373,235.03603963923297,200.8289164992507,262.6224292682509,206.34619442505428,201.93237208441144,281.3811742159831,228.41530612826864,218.4842058618222,204.13928325473285,230.6222172985901,200.8289164992507,286.8984521417867,358.6230651772334,229.51876171342937,761.3843537608956,280.2777186308224,229.51876171342937,896.0059351505032,303.4502859191975,461.2444345971802,241.6567731501973,192.00127181796495,192.00127181796495,299.745329585219
280.0,192.00127181796495,201.93237208441144,157.7941486779827,600.2798383274308,317.7952085262868,281.3811742159831,331.03667554821544,241.6567731501973,365.24379868819767,263.7258848534117,425.9338558720372,244.96713990567943,361.93343193271556,343.1746869849834,237.2429508095544,239.44986197987583,201.93237208441144,176.5528936257149,235.03603963923297,226.20839495794723,183.17362713667922,252.69132900180443,194.20818298828638,188.69090506248278,267.0362516088938,233.93258405407224,226.20839495794723,198.62200532892928,218.4842058618222,198.62200532892928,275.8638962901796,328.829764377894,220.69111703214364,700.694296577056,295.72609682307245,224.0014837876258,724.9703194505918,291.3122744824296,440.2787784791266,227.31185054310794,182.07017155151848,182.07017155151848,283.1806624641476
281.0,195.3116385734471,197.51854974376855,158.8976042631434,536.279414388109,308.9675638450011,262.6224292682509,356.416154006912,214.07038352117934,400.55437741334066,284.69154097146526,417.1062111907515,251.58787341664373,339.8643202295012,286.8984521417867,244.96713990567943,222.89802820246507,199.72546091408998,175.44943804055418,220.69111703214364,218.4842058618222,180.96671596635778,253.7947845869652,180.96671596635778,178.75980479603635,271.45007394953666,222.89802820246507,216.27729469150074,187.58744947732208,214.07038352117934,196.41509415860784,252.69132900180443,307.86410825984035,205.24273883989358,433.65804496816224,310.0710194301618,220.69111703214364,410.48547767978715,282.48462980114385,432.5545893830015,210.76001676569717,182.07017155151848,182.07017155151848,262.25189912816415
282.0,178.75980479603635,192.00127181796495,152.2768707521791,459.03752342685874,311.1744750153225,241.6567731501973,452.41678991589447,199.72546091408998,337.65740905917977,263.7258848534117,443.5891452346087,220.69111703214364,271.45007394953666,290.2088188972689,370.7610766140013,211.86347235085788,195.3116385734471,169.9321601147506,220.69111703214364,214.07038352117934,185.38053830700065,250.48441783148303,176.5528936257149,173.24252687023275,247.1740510760009,218.4842058618222,204.13928325473285,180.96671596635778,206.34619442505428,194.20818298828638,241.6567731501973,292.4157300675903,197.51854974376855,226.20839495794723,301.2433747488761,218.4842058618222,353.1057872514298,273.6569851198581,421.52003353139435,199.72546091408998,178.75980479603635,178.75980479603635,250.3263995852745
283.0,174.34598245539348,192.00127181796495,150.0699595818577,427.0373114571979,306.76065267467965,226.20839495794723,360.82997634755486,183.17362713667922,312.2779306004833,251.58787341664373,480.00317954491237,199.72546091408998,261.51897368309017,271.45007394953666,380.6921768804478,209.65656118053644,195.3116385734471,162.20797101862559,218.4842058618222,211.86347235085788,220.69111703214364,232.82912846891153,165.51833777410772,167.72524894442915,235.03603963923297,208.55310559537574,189.79436064764354,169.9321601147506,200.8289164992507,194.20818298828638,233.93258405407224,276.9673518753403,182.07017155151848,140.1388593154112,256.00169575728665,217.38075027666147,316.6917529411261,300.1399191637154,391.726732732055,209.65656118053644,158.8976042631434,158.8976042631434,238.85639254609097
284.0,172.13907128507205,189.79436064764354,146.7595928263755,395.0370994875371,297.9330079933939,214.07038352117934,315.5882973559654,175.44943804055418,295.72609682307245,237.2429508095544,417.1062111907515,188.69090506248278,232.82912846891153,247.1740510760009,352.0023316662691,204.13928325473285,190.89781623280425,156.690693092822,248.2775066611616,207.449650010215,172.13907128507205,229.51876171342937,157.7941486779827,161.10451543346485,228.41530612826864,218.4842058618222,180.96671596635778,162.20797101862559,194.20818298828638,192.00127181796495,247.1740510760009,262.6224292682509,173.24252687023275,165.51833777410772,227.31185054310794,218.4842058618222,312.2779306004833,275.8638962901796,357.5196095920727,200.8289164992507,157.7941486779827,157.7941486779827,227.63418786347083
285.0,167.72524894442915,180.96671596635778,140.1388593154112,372.96798778432276,286.8984521417867,203.03582766957214,377.38181012496557,173.24252687023275,626.762772371288,232.82912846891153,382.8990880507692,178.75980479603635,222.89802820246507,242.760228735358,284.69154097146526,204.13928325473285,187.58744947732208,154.48378192250055,385.10599922109066,207.449650010215,154.48378192250055,233.93258405407224,151.1734151670184,153.38032633733982,218.4842058618222,196.41509415860784,174.34598245539348,183.17362713667922,184.27708272183995,183.17362713667922,249.3809622463223,238.34640639471513,173.24252687023275,147.86304841153623,215.17383910634004,217.38075027666147,283.58808538630456,260.41551809792946,317.7952085262868,199.72546091408998,156.690693092822,156.690693092822,229.90365357365684
